Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
48,2014-05-21,Punjab Kings v Mumbai Indians,Mohali,Mumbai Indians won by 7 Wickets,Punjab Kings,Mumbai Indians,Mumbai Indians,7 Wickets,Won
49,2014-05-22,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders won by 30 Runs,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,30 Runs,Lost
50,2014-05-22,Chennai Super Kings v Sunrisers Hyderabad,Ranchi,Sunrisers Hyderabad won by 6 Wickets,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,6 Wickets,Won
51,2014-05-23,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 15 Runs,Mumbai Indians,Delhi Capitals,Mumbai Indians,15 Runs,Lost
52,2014-05-23,Punjab Kings v Rajasthan Royals,Mohali,Punjab Kings won by 16 Runs,Punjab Kings,Rajasthan Royals,Punjab Kings,16 Runs,Lost
53,2014-05-24,Royal Challengers Bangalore v Chennai Super Kings,Bengaluru,Chennai Super Kings won by 8 Wickets,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,8 Wickets,Won
54,2014-05-24,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 4 Wickets,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,4 Wickets,Won
55,2014-05-25,Punjab Kings v Delhi Capitals,Mohali,Punjab Kings won by 7 Wickets,Punjab Kings,Delhi Capitals,Punjab Kings,7 Wickets,Won
56,2014-05-25,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 5 Wickets,Mumbai Indians,Rajasthan Royals,Mumbai Indians,5 Wickets,Won
Elimination Final,2014-05-28,Mumbai Indians v Chennai Super Kings,Mumbai,Chennai Super Kings won by 7 Wickets,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,7 Wickets,Won
1st Qualifying Final,2014-05-28,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 28 Runs,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,28 Runs,Lost
2nd Qualifying Final,2014-05-30,Chennai Super Kings v Punjab Kings,Mumbai,Punjab Kings won by 24 Runs,Chennai Super Kings,Punjab Kings,Punjab Kings,24 Runs,Lost
Final,2014-06-01,Kolkata Knight Riders v Punjab Kings,Bengaluru,Kolkata Knight Riders won by 3 Wickets,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,3 Wickets,Won
1,2015-04-08,Kolkata Knight Riders v Mumbai Indians,Kolkata,Kolkata Knight Riders won by 3 Wickets,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,3 Wickets,Won
2,2015-04-09,Chennai Super Kings v Delhi Capitals,Chennai,Chennai Super Kings won by 1 Run,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,1 Run,Won
