Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
338,2013-04-14,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 48 Runs,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,48 Runs,Lost
339,2013-04-14,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 6 Wickets,Rajasthan Royals,Punjab Kings,Rajasthan Royals,6 Wickets,Won
340,2013-04-15,Chennai Super Kings v Pune Warriors,Chennai,Pune Warriors won by 24 Runs,Chennai Super Kings,Pune Warriors,Pune Warriors,24 Runs,Lost
341,2013-04-16,Punjab Kings v Kolkata Knight Riders,Mohali,Punjab Kings won by 4 Runs,Punjab Kings,Kolkata Knight Riders,Punjab Kings,4 Runs,Lost
342,2013-04-16,Royal Challengers Bangalore v Delhi Capitals,Bengaluru,Delhi Capitals won by tie,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,tie,Tie
343,2013-04-17,Pune Warriors v Sunrisers Hyderabad,Pune,Sunrisers Hyderabad won by 11 Runs,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,11 Runs,Lost
344,2013-04-17,Rajasthan Royals v Mumbai Indians,Jaipur,Rajasthan Royals won by 87 Runs,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,87 Runs,Lost
345,2013-04-18,Chennai Super Kings v Delhi Capitals,Delhi,Chennai Super Kings won by 86 Runs,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,86 Runs,Lost
346,2013-04-19,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Sunrisers Hyderabad won by 5 Wickets,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,5 Wickets,Won
347,2013-04-20,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Chennai Super Kings won by 4 Wickets,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,4 Wickets,Won
348,2013-04-20,Royal Challengers Bangalore v Rajasthan Royals,Bengaluru,Royal Challengers Bangalore won by 7 Wickets,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,7 Wickets,Won
349,2013-04-21,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 9 Wickets,Delhi Capitals,Mumbai Indians,Delhi Capitals,9 Wickets,Won
