Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
665,2018-05-02,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 4 Runs [D/L],Delhi Capitals,Rajasthan Royals,Delhi Capitals,4 Runs [D/L],Lost
666,2018-05-03,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Kolkata Knight Riders won by 6 Wickets,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,6 Wickets,Won
667,2018-05-04,Punjab Kings v Mumbai Indians,Indore,Mumbai Indians won by 6 Wickets,Punjab Kings,Mumbai Indians,Mumbai Indians,6 Wickets,Won
668,2018-05-05,Chennai Super Kings v Royal Challengers Bangalore,Pune,Chennai Super Kings won by 6 Wickets,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,6 Wickets,Won
669,2018-05-05,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Sunrisers Hyderabad won by 7 Wickets,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,7 Wickets,Won
670,2018-05-06,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 13 Runs,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,13 Runs,Lost
671,2018-05-06,Punjab Kings v Rajasthan Royals,Indore,Punjab Kings won by 6 Wickets,Punjab Kings,Rajasthan Royals,Punjab Kings,6 Wickets,Won
672,2018-05-07,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 5 Runs,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,5 Runs,Lost
673,2018-05-08,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 15 Runs,Rajasthan Royals,Punjab Kings,Rajasthan Royals,15 Runs,Lost
674,2018-05-09,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 102 Runs,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,102 Runs,Lost
675,2018-05-10,Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 9 Wickets,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,9 Wickets,Won
676,2018-05-11,Rajasthan Royals v Chennai Super Kings,Jaipur,Rajasthan Royals won by 4 Wickets,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,4 Wickets,Won
677,2018-05-12,Punjab Kings v Kolkata Knight Riders,Indore,Kolkata Knight Riders won by 31 Runs,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,31 Runs,Lost
678,2018-05-12,Delhi Capitals v Royal Challengers Bangalore,Delhi,Royal Challengers Bangalore won by 5 Wickets,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,5 Wickets,Won
679,2018-05-13,Chennai Super Kings v Sunrisers Hyderabad,Pune,Chennai Super Kings won by 8 Wickets,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,8 Wickets,Won
680,2018-05-13,Mumbai Indians v Rajasthan Royals,Mumbai,Rajasthan Royals won by 7 Wickets,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,7 Wickets,Won
681,2018-05-14,Punjab Kings v Royal Challengers Bangalore,Indore,Royal Challengers Bangalore won by 10 Wickets,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,10 Wickets,Won
682,2018-05-15,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Kolkata Knight Riders won by 6 Wickets,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,6 Wickets,Won
683,2018-05-16,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 3 Runs,Mumbai Indians,Punjab Kings,Mumbai Indians,3 Runs,Lost
684,2018-05-17,Royal Challengers Bangalore v Sunrisers Hyderabad,Bengaluru,Royal Challengers Bangalore won by 14 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,14 Runs,Lost
685,2018-05-18,Delhi Capitals v Chennai Super Kings,Delhi,Delhi Capitals won by 34 Runs,Delhi Capitals,Chennai Super Kings,Delhi Capitals,34 Runs,Lost
686,2018-05-19,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Rajasthan Royals won by 30 Runs,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,30 Runs,Lost
687,2018-05-19,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Kolkata Knight Riders won by 5 Wickets,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,5 Wickets,Won
688,2018-05-20,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 11 Runs,Delhi Capitals,Mumbai Indians,Delhi Capitals,11 Runs,Lost
689,2018-05-20,Chennai Super Kings v Punjab Kings,Pune,Chennai Super Kings won by 5 Wickets,Chennai Super Kings,Punjab Kings,Chennai Super Kings,5 Wickets,Won
690,2018-05-22,Chennai Super Kings v Sunrisers Hyderabad,Mumbai,Chennai Super Kings won by 2 Wickets,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,2 Wickets,Won
691,2018-05-23,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Kolkata Knight Riders won by 25 Runs,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,25 Runs,Lost
692,2018-05-25,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Sunrisers Hyderabad won by 14 Runs,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,14 Runs,Lost
693,2018-05-27,Chennai Super Kings v Sunrisers Hyderabad,Mumbai,Chennai Super Kings won by 8 Wickets,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,8 Wickets,Won
694,2019-03-23,Chennai Super Kings v Royal Challengers Bangalore,Chennai,Chennai Super Kings won by 7 Wickets,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,7 Wickets,Won
695,2019-03-24,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 6 Wickets,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,6 Wickets,Won
696,2019-03-24,Mumbai Indians v Delhi Capitals,Mumbai,Delhi Capitals won by 37 Runs,Mumbai Indians,Delhi Capitals,Delhi Capitals,37 Runs,Lost
697,2019-03-25,Rajasthan Royals v Punjab Kings,Jaipur,Punjab Kings won by 14 Runs,Rajasthan Royals,Punjab Kings,Punjab Kings,14 Runs,Lost
698,2019-03-26,Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 6 Wickets,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,6 Wickets,Won
699,2019-03-27,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 28 Runs,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,28 Runs,Lost
700,2019-03-28,Royal Challengers Bangalore v Mumbai Indians,Bengaluru,Mumbai Indians won by 6 Runs,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,6 Runs,Lost
701,2019-03-29,Sunrisers Hyderabad v Rajasthan Royals,Hyderabad,Sunrisers Hyderabad won by 5 Wickets,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,5 Wickets,Won
702,2019-03-30,Delhi Capitals v Kolkata Knight Riders,Delhi,Kolkata Knight Riders won by tie,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,tie,Tie
703,2019-03-30,Punjab Kings v Mumbai Indians,Mohali,Punjab Kings won by 8 Wickets,Punjab Kings,Mumbai Indians,Punjab Kings,8 Wickets,Won
704,2019-03-31,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 118 Runs,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,118 Runs,Lost
705,2019-03-31,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 8 Runs,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,8 Runs,Lost
706,2019-04-01,Punjab Kings v Delhi Capitals,Mohali,Punjab Kings won by 14 Runs,Punjab Kings,Delhi Capitals,Punjab Kings,14 Runs,Lost
707,2019-04-02,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Rajasthan Royals won by 7 Wickets,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,7 Wickets,Won
708,2019-04-03,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 37 Runs,Mumbai Indians,Chennai Super Kings,Mumbai Indians,37 Runs,Lost
709,2019-04-04,Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 5 Wickets,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,5 Wickets,Won
710,2019-04-05,Royal Challengers Bangalore v Kolkata Knight Riders,Bengaluru,Kolkata Knight Riders won by 5 Wickets,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,5 Wickets,Won
711,2019-04-06,Chennai Super Kings v Punjab Kings,Chennai,Chennai Super Kings won by 22 Runs,Chennai Super Kings,Punjab Kings,Chennai Super Kings,22 Runs,Lost
712,2019-04-06,Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Mumbai Indians won by 40 Runs,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,40 Runs,Lost
713,2019-04-07,Royal Challengers Bangalore v Delhi Capitals,Bengaluru,Delhi Capitals won by 4 Wickets,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,4 Wickets,Won
714,2019-04-07,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Kolkata Knight Riders won by 8 Wickets,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,8 Wickets,Won
715,2019-04-08,Punjab Kings v Sunrisers Hyderabad,Mohali,Punjab Kings won by 6 Wickets,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,6 Wickets,Won
716,2019-04-09,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 7 Wickets,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,7 Wickets,Won
717,2019-04-10,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 3 Wickets,Mumbai Indians,Punjab Kings,Mumbai Indians,3 Wickets,Won
718,2019-04-11,Rajasthan Royals v Chennai Super Kings,Jaipur,Chennai Super Kings won by 4 Wickets,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,4 Wickets,Won
719,2019-04-12,Kolkata Knight Riders v Delhi Capitals,Kolkata,Delhi Capitals won by 7 Wickets,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,7 Wickets,Won
720,2019-04-13,Mumbai Indians v Rajasthan Royals,Mumbai,Rajasthan Royals won by 4 Wickets,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,4 Wickets,Won
721,2019-04-13,Punjab Kings v Royal Challengers Bangalore,Mohali,Royal Challengers Bangalore won by 8 Wickets,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,8 Wickets,Won
722,2019-04-14,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Chennai Super Kings won by 5 Wickets,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,5 Wickets,Won
723,2019-04-14,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Delhi Capitals won by 39 Runs,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,39 Runs,Lost
724,2019-04-15,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Mumbai Indians won by 5 Wickets,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,5 Wickets,Won
725,2019-04-16,Punjab Kings v Rajasthan Royals,Mohali,Punjab Kings won by 12 Runs,Punjab Kings,Rajasthan Royals,Punjab Kings,12 Runs,Lost
726,2019-04-17,Sunrisers Hyderabad v Chennai Super Kings,Hyderabad,Sunrisers Hyderabad won by 6 Wickets,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,6 Wickets,Won
727,2019-04-18,Delhi Capitals v Mumbai Indians,Delhi,Mumbai Indians won by 40 Runs,Delhi Capitals,Mumbai Indians,Mumbai Indians,40 Runs,Lost
728,2019-04-19,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Royal Challengers Bangalore won by 10 Runs,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,10 Runs,Lost
729,2019-04-20,Rajasthan Royals v Mumbai Indians,Jaipur,Rajasthan Royals won by 5 Wickets,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,5 Wickets,Won
730,2019-04-20,Delhi Capitals v Punjab Kings,Delhi,Delhi Capitals won by 5 Wickets,Delhi Capitals,Punjab Kings,Delhi Capitals,5 Wickets,Won
731,2019-04-21,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Sunrisers Hyderabad won by 9 Wickets,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,9 Wickets,Won
732,2019-04-21,Royal Challengers Bangalore v Chennai Super Kings,Bengaluru,Royal Challengers Bangalore won by 1 Run,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,1 Run,Won
733,2019-04-22,Rajasthan Royals v Delhi Capitals,Jaipur,Delhi Capitals won by 6 Wickets,Rajasthan Royals,Delhi Capitals,Delhi Capitals,6 Wickets,Won
734,2019-04-23,Chennai Super Kings v Sunrisers Hyderabad,Chennai,Chennai Super Kings won by 6 Wickets,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,6 Wickets,Won
735,2019-04-24,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Royal Challengers Bangalore won by 17 Runs,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,17 Runs,Lost
736,2019-04-25,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Rajasthan Royals won by 3 Wickets,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,3 Wickets,Won
737,2019-04-26,Chennai Super Kings v Mumbai Indians,Chennai,Mumbai Indians won by 46 Runs,Chennai Super Kings,Mumbai Indians,Mumbai Indians,46 Runs,Lost
738,2019-04-27,Rajasthan Royals v Sunrisers Hyderabad,Jaipur,Rajasthan Royals won by 7 Wickets,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,7 Wickets,Won
739,2019-04-28,Delhi Capitals v Royal Challengers Bangalore,Delhi,Delhi Capitals won by 16 Runs,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,16 Runs,Lost
740,2019-04-28,Kolkata Knight Riders v Mumbai Indians,Kolkata,Kolkata Knight Riders won by 34 Runs,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,34 Runs,Lost
741,2019-04-29,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Sunrisers Hyderabad won by 45 Runs,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,45 Runs,Lost
742,2019-05-01,Chennai Super Kings v Delhi Capitals,Chennai,Chennai Super Kings won by 80 Runs,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,80 Runs,Lost
743,2019-05-02,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Sunrisers Hyderabad won by tie,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,tie,Tie
744,2019-05-03,Punjab Kings v Kolkata Knight Riders,Mohali,Kolkata Knight Riders won by 7 Wickets,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,7 Wickets,Won
745,2019-05-04,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 5 Wickets,Delhi Capitals,Rajasthan Royals,Delhi Capitals,5 Wickets,Won
746,2019-05-04,Royal Challengers Bangalore v Sunrisers Hyderabad,Bengaluru,Royal Challengers Bangalore won by 4 Wickets,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,4 Wickets,Won
747,2019-05-05,Punjab Kings v Chennai Super Kings,Mohali,Punjab Kings won by 6 Wickets,Punjab Kings,Chennai Super Kings,Punjab Kings,6 Wickets,Won
748,2019-05-05,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 9 Wickets,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,9 Wickets,Won
749,2019-05-07,Chennai Super Kings v Mumbai Indians,Chennai,Mumbai Indians won by 6 Wickets,Chennai Super Kings,Mumbai Indians,Mumbai Indians,6 Wickets,Won
750,2019-05-08,Delhi Capitals v Sunrisers Hyderabad,Visakhapatnam,Delhi Capitals won by 2 Wickets,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,2 Wickets,Won
751,2019-05-10,Chennai Super Kings v Delhi Capitals,Visakhapatnam,Chennai Super Kings won by 6 Wickets,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,6 Wickets,Won
752,2019-05-12,Chennai Super Kings v Mumbai Indians,Hyderabad,Mumbai Indians won by 1 Run,Chennai Super Kings,Mumbai Indians,Mumbai Indians,1 Run,Won
753,2020-09-19,Chennai Super Kings v Mumbai Indians,Abu Dhabi,Chennai Super Kings won by 5 Wickets,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,5 Wickets,Won
754,2020-09-20,Delhi Capitals v Punjab Kings,Dubai,Punjab Kings won by tie,Delhi Capitals,Punjab Kings,Punjab Kings,tie,Tie
755,2020-09-21,Royal Challengers Bangalore v Sunrisers Hyderabad,Dubai,Royal Challengers Bangalore won by 10 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,10 Runs,Lost
756,2020-09-22,Chennai Super Kings v Rajasthan Royals,Sharjah,Rajasthan Royals won by 16 Runs,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,16 Runs,Lost
757,2020-09-23,Kolkata Knight Riders v Mumbai Indians,Abu Dhabi,Mumbai Indians won by 49 Runs,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,49 Runs,Lost
758,2020-09-24,Punjab Kings v Royal Challengers Bangalore,Dubai,Punjab Kings won by 97 Runs,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,97 Runs,Lost
759,2020-09-25,Chennai Super Kings v Delhi Capitals,Dubai,Delhi Capitals won by 44 Runs,Chennai Super Kings,Delhi Capitals,Delhi Capitals,44 Runs,Lost
760,2020-09-26,Kolkata Knight Riders v Sunrisers Hyderabad,Abu Dhabi,Kolkata Knight Riders won by 7 Wickets,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,7 Wickets,Won
761,2020-09-27,Punjab Kings v Rajasthan Royals,Sharjah,Rajasthan Royals won by 4 Wickets,Punjab Kings,Rajasthan Royals,Rajasthan Royals,4 Wickets,Won
762,2020-09-28,Mumbai Indians v Royal Challengers Bangalore,Dubai,Royal Challengers Bangalore won by tie,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,tie,Tie
763,2020-09-29,Delhi Capitals v Sunrisers Hyderabad,Abu Dhabi,Sunrisers Hyderabad won by 15 Runs,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,15 Runs,Lost
764,2020-09-30,Kolkata Knight Riders v Rajasthan Royals,Dubai,Kolkata Knight Riders won by 37 Runs,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,37 Runs,Lost
765,2020-10-01,Punjab Kings v Mumbai Indians,Abu Dhabi,Mumbai Indians won by 48 Runs,Punjab Kings,Mumbai Indians,Mumbai Indians,48 Runs,Lost
766,2020-10-02,Chennai Super Kings v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 7 Runs,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,7 Runs,Lost
767,2020-10-03,Royal Challengers Bangalore v Rajasthan Royals,Abu Dhabi,Royal Challengers Bangalore won by 8 Wickets,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,8 Wickets,Won
768,2020-10-03,Delhi Capitals v Kolkata Knight Riders,Sharjah,Delhi Capitals won by 18 Runs,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,18 Runs,Lost
769,2020-10-04,Mumbai Indians v Sunrisers Hyderabad,Sharjah,Mumbai Indians won by 34 Runs,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,34 Runs,Lost
770,2020-10-04,Chennai Super Kings v Punjab Kings,Dubai,Chennai Super Kings won by 10 Wickets,Chennai Super Kings,Punjab Kings,Chennai Super Kings,10 Wickets,Won
771,2020-10-05,Delhi Capitals v Royal Challengers Bangalore,Dubai,Delhi Capitals won by 59 Runs,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,59 Runs,Lost
772,2020-10-06,Mumbai Indians v Rajasthan Royals,Abu Dhabi,Mumbai Indians won by 57 Runs,Mumbai Indians,Rajasthan Royals,Mumbai Indians,57 Runs,Lost
773,2020-10-07,Chennai Super Kings v Kolkata Knight Riders,Abu Dhabi,Kolkata Knight Riders won by 10 Runs,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,10 Runs,Lost
774,2020-10-08,Punjab Kings v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 69 Runs,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,69 Runs,Lost
775,2020-10-09,Delhi Capitals v Rajasthan Royals,Sharjah,Delhi Capitals won by 46 Runs,Delhi Capitals,Rajasthan Royals,Delhi Capitals,46 Runs,Lost
776,2020-10-10,Kolkata Knight Riders v Punjab Kings,Abu Dhabi,Kolkata Knight Riders won by 2 Runs,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,2 Runs,Lost
777,2020-10-10,Chennai Super Kings v Royal Challengers Bangalore,Dubai,Royal Challengers Bangalore won by 37 Runs,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,37 Runs,Lost
778,2020-10-11,Rajasthan Royals v Sunrisers Hyderabad,Dubai,Rajasthan Royals won by 5 Wickets,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,5 Wickets,Won
779,2020-10-11,Delhi Capitals v Mumbai Indians,Abu Dhabi,Mumbai Indians won by 5 Wickets,Delhi Capitals,Mumbai Indians,Mumbai Indians,5 Wickets,Won
780,2020-10-12,Kolkata Knight Riders v Royal Challengers Bangalore,Sharjah,Royal Challengers Bangalore won by 82 Runs,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,82 Runs,Lost
781,2020-10-13,Chennai Super Kings v Sunrisers Hyderabad,Dubai,Chennai Super Kings won by 20 Runs,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,20 Runs,Lost
782,2020-10-14,Delhi Capitals v Rajasthan Royals,Dubai,Delhi Capitals won by 13 Runs,Delhi Capitals,Rajasthan Royals,Delhi Capitals,13 Runs,Lost
783,2020-10-15,Punjab Kings v Royal Challengers Bangalore,Sharjah,Punjab Kings won by 8 Wickets,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,8 Wickets,Won
784,2020-10-16,Kolkata Knight Riders v Mumbai Indians,Abu Dhabi,Mumbai Indians won by 8 Wickets,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,8 Wickets,Won
785,2020-10-17,Royal Challengers Bangalore v Rajasthan Royals,Dubai,Royal Challengers Bangalore won by 7 Wickets,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,7 Wickets,Won
786,2020-10-17,Chennai Super Kings v Delhi Capitals,Sharjah,Delhi Capitals won by 5 Wickets,Chennai Super Kings,Delhi Capitals,Delhi Capitals,5 Wickets,Won
787,2020-10-18,Kolkata Knight Riders v Sunrisers Hyderabad,Abu Dhabi,Sunrisers Hyderabad won by tie,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,tie,Tie
788,2020-10-18,Punjab Kings v Mumbai Indians,Dubai,Mumbai Indians won by tie,Punjab Kings,Mumbai Indians,Mumbai Indians,tie,Tie
789,2020-10-19,Chennai Super Kings v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 7 Wickets,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,7 Wickets,Won
790,2020-10-20,Delhi Capitals v Punjab Kings,Dubai,Punjab Kings won by 5 Wickets,Delhi Capitals,Punjab Kings,Punjab Kings,5 Wickets,Won
791,2020-10-21,Kolkata Knight Riders v Royal Challengers Bangalore,Abu Dhabi,Royal Challengers Bangalore won by 8 Wickets,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,8 Wickets,Won
792,2020-10-22,Rajasthan Royals v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 8 Wickets,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,8 Wickets,Won
793,2020-10-23,Chennai Super Kings v Mumbai Indians,Sharjah,Mumbai Indians won by 10 Wickets,Chennai Super Kings,Mumbai Indians,Mumbai Indians,10 Wickets,Won
794,2020-10-24,Delhi Capitals v Kolkata Knight Riders,Abu Dhabi,Kolkata Knight Riders won by 59 Runs,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,59 Runs,Lost
795,2020-10-24,Punjab Kings v Sunrisers Hyderabad,Dubai,Punjab Kings won by 12 Runs,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,12 Runs,Lost
796,2020-10-25,Chennai Super Kings v Royal Challengers Bangalore,Dubai,Chennai Super Kings won by 8 Wickets,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,8 Wickets,Won
797,2020-10-25,Mumbai Indians v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 8 Wickets,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,8 Wickets,Won
798,2020-10-26,Kolkata Knight Riders v Punjab Kings,Sharjah,Punjab Kings won by 8 Wickets,Kolkata Knight Riders,Punjab Kings,Punjab Kings,8 Wickets,Won
799,2020-10-27,Delhi Capitals v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 88 Runs,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,88 Runs,Lost
800,2020-10-28,Mumbai Indians v Royal Challengers Bangalore,Abu Dhabi,Mumbai Indians won by 5 Wickets,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,5 Wickets,Won
801,2020-10-29,Chennai Super Kings v Kolkata Knight Riders,Dubai,Chennai Super Kings won by 6 Wickets,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,6 Wickets,Won
802,2020-10-30,Punjab Kings v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 7 Wickets,Punjab Kings,Rajasthan Royals,Rajasthan Royals,7 Wickets,Won
803,2020-10-31,Delhi Capitals v Mumbai Indians,Dubai,Mumbai Indians won by 9 Wickets,Delhi Capitals,Mumbai Indians,Mumbai Indians,9 Wickets,Won
804,2020-10-31,Royal Challengers Bangalore v Sunrisers Hyderabad,Sharjah,Sunrisers Hyderabad won by 5 Wickets,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,5 Wickets,Won
805,2020-11-01,Chennai Super Kings v Punjab Kings,Abu Dhabi,Chennai Super Kings won by 9 Wickets,Chennai Super Kings,Punjab Kings,Chennai Super Kings,9 Wickets,Won
806,2020-11-01,Kolkata Knight Riders v Rajasthan Royals,Dubai,Kolkata Knight Riders won by 60 Runs,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,60 Runs,Lost
807,2020-11-02,Delhi Capitals v Royal Challengers Bangalore,Abu Dhabi,Delhi Capitals won by 6 Wickets,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,6 Wickets,Won
808,2020-11-03,Mumbai Indians v Sunrisers Hyderabad,Sharjah,Sunrisers Hyderabad won by 10 Wickets,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,10 Wickets,Won
809,2020-11-05,Delhi Capitals v Mumbai Indians,Dubai,Mumbai Indians won by 57 Runs,Delhi Capitals,Mumbai Indians,Mumbai Indians,57 Runs,Lost
