,Match,Date,Teams,Ground,Result
18,19,21/04/2018,Royal Challengers Bangalore v Delhi Capitals,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 6 Wickets
19,20,22/04/2018,Sunrisers Hyderabad v Chennai Super Kings,Hyderabad,Chennai Super Kings won by 4 Runs
20,21,22/04/2018,Rajasthan Royals v Mumbai Indians,Jaipur,Rajasthan Royals won by 3 Wickets
21,22,23/04/2018,Delhi Capitals v Punjab Kings,Delhi,Punjab Kings won by 4 Runs
22,23,24/04/2018,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Sunrisers Hyderabad won by 31 Runs
23,24,25/04/2018,Royal Challengers Bangalore v Chennai Super Kings,"Bengaluru, Bangalore",Chennai Super Kings won by 5 Wickets
24,25,26/04/2018,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Sunrisers Hyderabad won by 13 Runs
25,26,27/04/2018,Delhi Capitals v Kolkata Knight Riders,Delhi,Delhi Capitals won by 55 Runs
26,27,28/04/2018,Chennai Super Kings v Mumbai Indians,Pune,Mumbai Indians won by 8 Wickets
27,28,29/04/2018,Rajasthan Royals v Sunrisers Hyderabad,Jaipur,Sunrisers Hyderabad won by 11 Runs
28,29,29/04/2018,Royal Challengers Bangalore v Kolkata Knight Riders,"Bengaluru, Bangalore",Kolkata Knight Riders won by 6 Wickets
29,30,30/04/2018,Chennai Super Kings v Delhi Capitals,Pune,Chennai Super Kings won by 13 Runs
30,31,01/05/2018,Royal Challengers Bangalore v Mumbai Indians,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 14 Runs
31,32,02/05/2018,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 4 Runs [D/L]
32,33,03/05/2018,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Kolkata Knight Riders won by 6 Wickets
33,34,04/05/2018,Punjab Kings v Mumbai Indians,Indore,Mumbai Indians won by 6 Wickets
34,35,05/05/2018,Chennai Super Kings v Royal Challengers Bangalore,Pune,Chennai Super Kings won by 6 Wickets
35,36,05/05/2018,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Sunrisers Hyderabad won by 7 Wickets
36,37,06/05/2018,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 13 Runs
37,38,06/05/2018,Punjab Kings v Rajasthan Royals,Indore,Punjab Kings won by 6 Wickets
38,39,07/05/2018,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 5 Runs
39,40,08/05/2018,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 15 Runs
40,41,09/05/2018,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 102 Runs
41,42,10/05/2018,Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 9 Wickets
42,43,11/05/2018,Rajasthan Royals v Chennai Super Kings,Jaipur,Rajasthan Royals won by 4 Wickets
43,44,12/05/2018,Punjab Kings v Kolkata Knight Riders,Indore,Kolkata Knight Riders won by 31 Runs
44,45,12/05/2018,Delhi Capitals v Royal Challengers Bangalore,Delhi,Royal Challengers Bangalore won by 5 Wickets
45,46,13/05/2018,Chennai Super Kings v Sunrisers Hyderabad,Pune,Chennai Super Kings won by 8 Wickets
46,47,13/05/2018,Mumbai Indians v Rajasthan Royals,Mumbai,Rajasthan Royals won by 7 Wickets
47,48,14/05/2018,Punjab Kings v Royal Challengers Bangalore,Indore,Royal Challengers Bangalore won by 10 Wickets
48,49,15/05/2018,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Kolkata Knight Riders won by 6 Wickets
49,50,16/05/2018,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 3 Runs
50,51,17/05/2018,Royal Challengers Bangalore v Sunrisers Hyderabad,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 14 Runs
51,52,18/05/2018,Delhi Capitals v Chennai Super Kings,Delhi,Delhi Capitals won by 34 Runs
52,53,19/05/2018,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Rajasthan Royals won by 30 Runs
53,54,19/05/2018,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Kolkata Knight Riders won by 5 Wickets
54,55,20/05/2018,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 11 Runs
55,56,20/05/2018,Chennai Super Kings v Punjab Kings,Pune,Chennai Super Kings won by 5 Wickets
56,1st Qualifying Final,22/05/2018,Chennai Super Kings v Sunrisers Hyderabad,Mumbai,Chennai Super Kings won by 2 Wickets
57,1st Elimination Final,23/05/2018,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Kolkata Knight Riders won by 25 Runs
58,2nd Qualifying Final,25/05/2018,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Sunrisers Hyderabad won by 14 Runs
59,Final,27/05/2018,Chennai Super Kings v Sunrisers Hyderabad,Mumbai,Chennai Super Kings won by 8 Wickets
0,1,23/03/2019,Chennai Super Kings v Royal Challengers Bangalore,Chennai,Chennai Super Kings won by 7 Wickets
1,2,24/03/2019,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 6 Wickets
2,3,24/03/2019,Mumbai Indians v Delhi Capitals,Mumbai,Delhi Capitals won by 37 Runs
3,4,25/03/2019,Rajasthan Royals v Punjab Kings,Jaipur,Punjab Kings won by 14 Runs
4,5,26/03/2019,Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 6 Wickets
5,6,27/03/2019,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 28 Runs
6,7,28/03/2019,Royal Challengers Bangalore v Mumbai Indians,"Bengaluru, Bangalore",Mumbai Indians won by 6 Runs
7,8,29/03/2019,Sunrisers Hyderabad v Rajasthan Royals,Hyderabad,Sunrisers Hyderabad won by 5 Wickets
8,10,30/03/2019,Delhi Capitals v Kolkata Knight Riders,Delhi,Match tied (Delhi Capitals won eliminator)
9,9,30/03/2019,Punjab Kings v Mumbai Indians,"Mohali, Chandigarh",Punjab Kings won by 8 Wickets
10,11,31/03/2019,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 118 Runs
11,12,31/03/2019,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 8 Runs
12,13,01/04/2019,Punjab Kings v Delhi Capitals,"Mohali, Chandigarh",Punjab Kings won by 14 Runs
13,14,02/04/2019,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Rajasthan Royals won by 7 Wickets
14,15,03/04/2019,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 37 Runs
15,16,04/04/2019,Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 5 Wickets
16,17,05/04/2019,Royal Challengers Bangalore v Kolkata Knight Riders,"Bengaluru, Bangalore",Kolkata Knight Riders won by 5 Wickets
17,18,06/04/2019,Chennai Super Kings v Punjab Kings,Chennai,Chennai Super Kings won by 22 Runs
18,19,06/04/2019,Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Mumbai Indians won by 40 Runs
19,20,07/04/2019,Royal Challengers Bangalore v Delhi Capitals,"Bengaluru, Bangalore",Delhi Capitals won by 4 Wickets
20,21,07/04/2019,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Kolkata Knight Riders won by 8 Wickets
21,22,08/04/2019,Punjab Kings v Sunrisers Hyderabad,"Mohali, Chandigarh",Punjab Kings won by 6 Wickets
22,23,09/04/2019,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 7 Wickets
23,24,10/04/2019,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 3 Wickets
24,25,11/04/2019,Rajasthan Royals v Chennai Super Kings,Jaipur,Chennai Super Kings won by 4 Wickets
25,26,12/04/2019,Kolkata Knight Riders v Delhi Capitals,Kolkata,Delhi Capitals won by 7 Wickets
26,27,13/04/2019,Mumbai Indians v Rajasthan Royals,Mumbai,Rajasthan Royals won by 4 Wickets
27,28,13/04/2019,Punjab Kings v Royal Challengers Bangalore,"Mohali, Chandigarh",Royal Challengers Bangalore won by 8 Wickets
28,29,14/04/2019,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Chennai Super Kings won by 5 Wickets
